TrialNumber,happy,emotion2,emotion3,emotion4,emotion5,emotion6,SubjectID,PhotoTrialNumber,GambleTrialNumber,Task,Partner,Condition,PhotoFilename,Feedback,FeedbackWait,PhotoResponseTime,RiskyGain,CertainAmount,Outcome,ev_level,GambleResponseTime,GambleChoice,SelectedPrice,GambleKey,futuresharingRating
,,,,,,,103,,33.0,Gamble,,,,,,,24.19,7.91,l,10.0,1.399095083004795,1.0,24.19,1,
,,,,,,,103,,34.0,Gamble,,,,,,,17.65,7.17,w,8.0,2.7763761669630185,1.0,17.65,1,
,,,,,,,103,,35.0,Gamble,,,,,,,18.89,10.55,l,10.0,1.4212130419909954,0.0,10.55,9,
,,,,,,,103,36.0,,PhotoShare,Charlie,Acc,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_11.png,did not like,3.79605092,1.1970182920340449,,,,,,,,,
,,,,,,,103,37.0,,PhotoShare,Charlie,Acc,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_10.png,did not like,3.562416326,1.4114141250029206,,,,,,,,,
,,,,,,,103,38.0,,PhotoShare,Charlie,Acc,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_20.png,liked,2.843822497,0.9073323750635609,,,,,,,,,
,,,,,,,103,39.0,,PhotoShare,Charlie,Acc,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_6.png,liked,3.546495948,0.588405332993716,,,,,,,,,
,,,,,,,103,40.0,,PhotoShare,Charlie,Acc,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_31.png,liked,1.672012706,0.7853170419111848,,,,,,,,,
,,,,,,,103,,36.0,Gamble,,,,,,,25.96,7.02,l,10.0,1.735896542086266,1.0,25.96,1,
,,,,,,,103,,37.0,Gamble,,,,,,,11.2,6.4,w,6.0,1.3054621251067147,0.0,6.4,9,
,,,,,,,103,,38.0,Gamble,,,,,,,16.9,7.55,w,8.0,1.9235834579449147,0.0,7.55,9,
,,,,,,,103,,39.0,Gamble,,,,,,,15.19,4.41,w,6.0,1.3651638749288395,1.0,15.19,1,
,,,,,,,103,,40.0,Gamble,,,,,,,16.06,7.97,w,8.0,1.333053500042297,0.0,7.97,9,
,,,,,,,103,41.0,,PhotoShare,Charlie,Acc,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_9.png,liked,4.942172136,1.4148547500371933,,,,,,,,,
,,,,,,,103,42.0,,PhotoShare,Charlie,Acc,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_18.png,liked,2.50187214,0.7411124160280451,,,,,,,,,
,,,,,,,103,43.0,,PhotoShare,Charlie,Acc,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_19.png,liked,2.071164779,0.9837095830589533,,,,,,,,,
,,,,,,,103,44.0,,PhotoShare,Charlie,Acc,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_24.png,liked,5.336503566,0.8311776249902323,,,,,,,,,
,,,,,,,103,45.0,,PhotoShare,Charlie,Acc,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_1.png,liked,2.642157193,1.0298557090573013,,,,,,,,,
,,,,,,,103,,41.0,Gamble,,,,,,,25.08,3.46,w,8.0,1.8550350420409814,1.0,25.08,1,
,,,,,,,103,,42.0,Gamble,,,,,,,14.31,8.84,l,8.0,1.2712791661033407,0.0,8.84,9,
,,,,,,,103,,43.0,Gamble,,,,,,,22.81,8.59,w,10.0,1.5257482079323381,1.0,22.81,1,
,,,,,,,103,,44.0,Gamble,,,,,,,19.73,10.13,l,10.0,1.2268240420380607,0.0,10.13,9,
,,,,,,,103,,45.0,Gamble,,,,,,,11.66,6.17,w,6.0,1.2655975829111412,0.0,6.17,9,
MidEmotion_Block2,4.0,0.2,0.0,0.0,0.0,0.0,103,,,,,,,,,,,,,,,,,,
,,,,,,,103,46.0,,PhotoShare,Charlie,Acc,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_21.png,liked,4.456234322,0.7919062910368666,,,,,,,,,
,,,,,,,103,47.0,,PhotoShare,Charlie,Acc,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_4.png,did not like,4.438512181,0.9388197920052335,,,,,,,,,
,,,,,,,103,48.0,,PhotoShare,Charlie,Acc,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_30.png,liked,2.682944783,1.1000535419443622,,,,,,,,,
,,,,,,,103,49.0,,PhotoShare,Charlie,Acc,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_13.png,did not like,4.51984296,0.67019891703967,,,,,,,,,
,,,,,,,103,50.0,,PhotoShare,Charlie,Acc,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_28.png,liked,3.195382774,0.673936958075501,,,,,,,,,
,,,,,,,103,,46.0,Gamble,,,,,,,29.55,5.22,w,10.0,1.3117968749720603,1.0,29.55,1,
,,,,,,,103,,47.0,Gamble,,,,,,,10.84,6.58,l,6.0,1.3739729999797419,0.0,6.58,9,
,,,,,,,103,,48.0,Gamble,,,,,,,15.32,8.34,w,8.0,2.54745004104916,0.0,8.34,9,
,,,,,,,103,,49.0,Gamble,,,,,,,13.45,5.27,w,6.0,2.370051541016437,1.0,13.45,1,
,,,,,,,103,,50.0,Gamble,,,,,,,17.73,11.13,l,10.0,1.673319666995667,0.0,11.13,9,
,,,,,,,103,51.0,,PhotoShare,Charlie,Acc,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_7.png,did not like,1.779333479,1.4034087909385562,,,,,,,,,
,,,,,,,103,52.0,,PhotoShare,Charlie,Acc,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_25.png,liked,4.312468682,1.2108652500901371,,,,,,,,,
,,,,,,,103,53.0,,PhotoShare,Charlie,Acc,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_12.png,did not like,4.940433059,0.5292262498987839,,,,,,,,,
,,,,,,,103,54.0,,PhotoShare,Charlie,Acc,Participant_Images/103/103_Images/R_6MRlxW0l6nt67Fj_Image_14.png,did not like,2.7105123,0.6432664580643177,,,,,,,,,
